sep=,
"flag","Vessel Name","registeredOwner","callSign","MMSI","imo","shipType","destination","eta","navigationStatus","Latitude","Longitude","age","timeOfFix"
"Liberia","G PUTUO","G Putuo Shipping Co Ltd","D5DD6","636015848","9491238","7-Cargo","Dhamra","9021200","0-Underway(Engine)","-25.981078","45.43347","24m02s","2025-08-19T05:26:27.000Z"
"Liberia","MSC WIND II","Avrinia Oceanway Ltd","ELWZ5","636016575","9173135","7-Cargo","Vizhinjam","8280230","0-Underway(Engine)","-18.148617","49.425908","3m49s","2025-08-19T05:46:40.000Z"
"Liberia","FALCON TRIUMPH","Falcon Triumph Shipping Ltd","D5HG4","636016678","9717589","7-Cargo","Sg Sin>sl Fna","9051200","0-Underway(Engine)","-24.198392","51.013295","2m27s","2025-08-19T05:48:02.000Z"
"Liberia","BAO LAI","Bao Yi Shipping Co Ltd","D5IJ8","636016918","9254513","7-Cargo","Ng Los","9041200","0-Underway(Engine)","-22.197737","50.116433","17m36s","2025-08-19T05:32:53.000Z"
"Liberia","MSC MILA 3","Mila 3 Maritime Inc","D5JB9","636017055","9062996","7-Cargo","Mg Tmm","8181500","0-Underway(Engine)","-18.071495","49.431125","53s","2025-08-19T05:49:36.000Z"
"Liberia","MSC JADE","Ocean Wind Shipping Ltd","D5LH6","636017506","9762326","7-Cargo","Vizhinjam","8250330","0-Underway(Engine)","-11.356807","48.582863","26m29s","2025-08-19T05:24:00.000Z"
"Liberia","WINNING OCEAN","Beautiful Shipping SA-LIB","D5MK5","636017719","9271602","7-Cargo","Port De Boke","9060900","0-Underway(Engine)","-25.90861","46.507107","19m46s","2025-08-19T05:30:43.000Z"
"Liberia","SUNNY BOFFA","Fruitful Shipping SA","D5PB9","636018299","9253090","7-Cargo","Port De Boke/guinea","9041500","0-Underway(Engine)","-26.005477","46.832847","17m46s","2025-08-19T05:32:43.000Z"
"Liberia","CL SUZHOU","Shenzhen Qianhai Peng Cheng 8","D5TZ2","636019321","9767027","7-Cargo","Santos","9031400","0-Underway(Engine)","-27.592408","44.013785","19m00s","2025-08-19T05:31:29.000Z"
"Liberia","AVON TRADER","Avon Trader Shipping Ltd","D5UI3","636019398","9566849","7-Cargo","Za Rcb","8231200","0-Underway(Engine)","-11.716663","48.29114","25m58s","2025-08-19T05:24:31.000Z"
"Liberia","CL YINGNA HE","Shenzhen Qianhai Peng Cheng 11","D5WE5","636019792","9890666","7-Cargo","Singapore","8291500","0-Underway(Engine)","-24.452407","49.909573","15m54s","2025-08-19T05:34:35.000Z"
"Liberia","LASKARO S","Laskaro Shipping SA","D5YL4","636020270","9316050","7-Cargo","Santos","9071430","0-Underway(Engine)","-25.732457","47.115452","18m15s","2025-08-19T05:32:14.000Z"
"Liberia","MSXT ECHO","Fortune Civilization Carriers","5LAS8","636020790","9929297","7-Cargo","Singapore","9021200","0-Underway(Engine)","-24.927543","50.727387","3m25s","2025-08-19T05:47:04.000Z"
"Liberia","MOUNT MATTERHORN","Compass Shipping 90 Corp Ltd","5LDQ4","636021373","9945629","7-Cargo","Br Tub","9071400","0-Underway(Engine)","-25.459042","47.911065","17m32s","2025-08-19T05:32:57.000Z"
"Liberia","CAPE BRAZIL","Genoa Fund Sea Investments Inc","5LEB6","636021468","9469924","7-Cargo","Tubarao Brazil","9061500","0-Underway(Engine)","-26.622972","45.261468","17m58s","2025-08-19T05:32:31.000Z"
"Liberia","MSC KALAMATA VII","Alpheus Oceanway Ltd","5LHF8","636022111","9244946","7-Cargo","Lkhba","8260030","0-Underway(Engine)","-15.636975","43.654425","2m33s","2025-08-19T05:47:56.000Z"
"Liberia","XIN CHUN","Dike Shipping Co Ltd","5LKF8","636022742","9324992","7-Cargo","Boffa","9061600","0-Underway(Engine)","-25.335133","48.542783","3m05s","2025-08-19T05:47:24.000Z"
"Liberia","ONE INTEGRITY","Cypress Maritime/Koyo Shosen","5LLG5","636022963","9933119","7-Cargo","Sing To Gbflx","8090500","0-Underway(Engine)","-26.769462","45.150213","18m00s","2025-08-19T05:32:29.000Z"
"Liberia","CL LIANYUNGANG","Tianjin Haitang-II Leasing Ltd","5LMT3","636023247","9747302","7-Cargo","Us Bal>in Tun","8290630","0-Underway(Engine)","-15.52333","43.942555","1m10s","2025-08-19T05:49:19.000Z"
"Liberia","TAI SENTRY","Tai Shing Maritime Co SA","5LPC9","636023729","9961245","7-Cargo","Singapore","9010400","0-Underway(Engine)","-11.211893","49.884267","3m27s","2025-08-19T05:47:02.000Z"
"Liberia","GALATEIA","Deniz Marine SA","5LRP4","636024228","9715438","7-Cargo","Nl Rtm","9171200","0-Underway(Engine)","-26.78455","48.600773","2m32s","2025-08-19T05:47:57.000Z"
"Liberia","GLOBAL ADVENTURE","Adventure SA","5LSF7","636024362","9731585","7-Cargo","Tubarao.brazil","9042100","0-Underway(Engine)","-26.624903","47.811757","17m21s","2025-08-19T05:33:08.000Z"
"Liberia","PISCES HONOR","Huaxia Hongwang Tianjin","5LUS3","636024874","9531870","7-Cargo","Singapore","9020000","0-Underway(Engine)","-25.934457","48.047248","35s","2025-08-19T05:49:54.000Z"
"Liberia","MINOAN BAY","Trento Seas SA","D5VN9","636025276","9474618","7-Cargo","High Seas","8211200","0-Underway(Engine)","-23.863058","50.11404","18m32s","2025-08-19T05:31:57.000Z"
"Liberia","ROCKY","Apex Ship Brokering Services","5LXG5","636025399","9264790","7-Cargo","Sg Sin","9031200","0-Underway(Engine)","-27.963558","48.125968","17m10s","2025-08-19T05:33:19.000Z"
"Liberia","HG RAVENNA","Huaxia Shengjia Tianjin","5LOO8","636093247","9961893","7-Cargo","Durban","8221000","0-Underway(Engine)","-26.857927","42.751932","19m26s","2025-08-19T05:31:03.000Z"
"Liberia","MUNDRA EXPRESS","Abba Schiffahrts GmbH & Co","D5NV8","636093292","9408865","7-Cargo","Omsll","8250500","0-Underway(Engine)","-12.815785","46.706853","1m39s","2025-08-19T05:48:50.000Z"
"Madagascar","BALTIC TRADER","Rptd Sold Undisclosed Interest","","647971100","7396472","7-Cargo","Tamatave","8111200","5-Moored","-18.156737","49.42325","12m12s","2025-08-19T05:38:17.000Z"
